FROM,TO,WEIGHT
valegonsep,el_ciudadano,2
valegonsep,hugoguionista,2
valegonsep,rkatrileo,2
valegonsep,marcetys,2
valegonsep,estallidotw,2
sebasti45781359,berfontaine,2
gatosagazz,conihube,2
alueizandres,24horastvn,2
yasnaerazo,el_ciudadano,2
soyindignado,anahidurandg,2
felipemilla5,panchoorregog,2
pmaldonadogutir,anahidurandg,2
todoterreno18,24horastvn,2
kharly309,aldunatefran,2
lpba1901,anahidurandg,2
repfederalchile,gloconstituyent,2
repfederalchile,tiapikachu,2
repfederalchile,carovilchesf,2
eugenia70462387,el_ciudadano,2
eugenia70462387,hugoguionista,2
dionici75441843,anahidurandg,2
alvaroanaclet_,miderechoeducar,2
macaaresti,berfontaine,2
jbcamp30n,hugoguionista,2
rin_andre,24horastvn,2
patricioferrer,supernova_2020,2
marcelom1967,berfontaine,2
orion1305,paz_charpentier,2
yolandaisabelc,jeniffermella,2
psmauode,24horastvn,2
aprachile,24horastvn,2
tura071971,estallidotw,2
tura071971,ndi3go,2
isabel43048035,berfontaine,2
isabel43048035,supernova_2020,2
hombredenoticia,24horastvn,2
rantonioo,berfontaine,2
chilesintlc,esilvacuadra,2
erojas46,estallidotw,2
bwlly,sinfiltros_tv,2
tsocialchileno,marcetys,2
anibalredlich,berfontaine,2
jorluis197011,anahidurandg,2
chinin2925,rubencbm_ruben,2
marcelopda4131,rkatrileo,2
marcelopda4131,damabarca,2
cejoaquina,miderechoeducar,2
matilda86921424,24horastvn,2
angelafuentesr2,24horastvn,2
osvaldoaguiler8,zcensurada,2
osvaldoaguiler8,meqchile,2
sorelycor,beethovenclusa,2
srpv,sebasti45781359,2
rquispepalaco,anahidurandg,2
naujoli19,meqchile,2
pelucona_1970,juliogarciaord1,2
wendling2020,sebasti45781359,2
monroeyfrida,paz_charpentier,2
monroeyfrida,encuestanonima,2
monroeyfrida,artemisofarica,2
natalia08231207,stelartoqui,2
zophye,amarillos_chile,2
zophye,themys77,2
zophye,berfontaine,2
blancaviera13,sinfiltros_tv,2
lam99,tiapikachu,2
mujerestarapaca,afc073,2
benavidesmunoz,miderechoeducar,2
benavidesmunoz,profesor_silva,2
