FROM,TO,WEIGHT
dj_indignado20,mister_wolf_0,7
reytotoro,hugoguionista,7
jotaeferock,hugoguionista,7
marcelorojas134,hugoguionista,7
ronald_pavez,hugoguionista,7
agusrinmora,pepino09086275,7
anopchile,juanitowick,7
montecinos_san,pclascondes,7
tcc_esperanza,raulfuentesgaet,7
tcc_esperanza,patriotadeverd4,7
espinosacrsiete,activistaenrrss,7
daluso30313313,zurdaroja1312,6
daluso30313313,bosqueazul1,6
yolanda41092402,sanschonase,6
akingisip,hugoguionista,6
milenaeldan,mister_wolf_0,6
dpm_chile2020,roja53c,6
jpeley,hugoguionista,6
rolando_romenac,bosqueazul1,6
janecarvajal,claupascualgrau,6
janecarvajal,pamegatuna,6
janecarvajal,felipeparadam,6
janecarvajal,moralesdechile,6
joctool,chileconvoca,6
joctool,apruebaxchile,6
taticontrerasm,mister_wolf_0,6
patriciapazos53,crovanos,6
patriciapazos53,noalguve,6
patriciapazos53,jorgepablolguin,6
nlferrer,hugoguionista,6
ignacio47405730,dpm_chile2020,6
naujoli19,chileconvoca,6
yasna_cardenasx,crovanos,6
navymapu,revoluciontt,6
vernica07401640,valenti22921230,6
nativopoblador,octoamaro,6
nativopoblador,mister_wolf_0,6
mi2023pf,r_saavedram,6
mokik777,viviluc2,6
javitga,hugoguionista,6
afta_no_neko,hugoguionista,6
meugeniadiazj,hugoguionista,6
ebrielynca,el_ciudadano,6
patobustamante,viviluc2,6
marita_stappung,dlirio,6
marita_stappung,chileconvoca,6
marita_stappung,roja53c,6
lgougain,crovanos,6
lgougain,hugoguionista,6
psjcardenas,biobioxboric,6
psjcardenas,chileconvoca,6
jgus48,dlirio,6
oyarceemilia,macarenazanartu,6
eugenia70462387,gastoncita25,6
anonymuschileno,mister_wolf_0,6
gcvvega,mister_wolf_0,6
gabriel48241,viviluc2,6
monka_lover,nrgnebula,6
1970sith,florencialagosn,6
1970sith,ab_eddo,6
1970sith,mister_wolf_0,6
blancaewert1,hugoguionista,6
blancaewert1,edupeca,6
anonymus_chile,hugoguionista,6
phosforilado,dunicos,6
phosforilado,atenaspoirot,6
lauraca19697811,mister_wolf_0,6
marcela95089204,zcensurada,6
sirenassonando,mister_wolf_0,6
hanaltam,hugoguionista,6
